Metadonnees du dico associe a l'entreprise AAA.
0:YMIFHADYRTPZREA;FCDAIBJAQPPVRRI;NNHUWUAJTKYUFKG;NUQLZXZNUTBTAGW;DVKHOUMQBENIISX;TEZWYXMTFVSIOOX;UAUYCUULHRLENWY;BHKOTSTDDPOVQCG;RMYFKXPQKKQEFJD;XZRMGQMUSALRLAL;
1:GUSFMSQLXQBXIYF;DWAONEKHMASAWLC;DPVABDCJFFZGSUJ;QKYJWOEHBXFRBME;RLELJLIBHQLRRDG;KSIEHHJKDPKIIXL;ZPSGUGKKEOSYWFX;CXZRMVUJTNVSPTS;UVZJNJYZSZZLDZZ;ILSWWCSPGQBRJMM;
2:HYROUWPMPRJSOKC;CMGKIROLIOTGJRP;KBFTTKQGAFOORSL;NMCIVJLQGKCFNNK;VNSLTPKDSBOZSVW;POPNWPZYOSTLRKA;HCJTUMSDXLEKSMB;NVMAVIYFIBWEXRV;KEGQHQLVTDAWKEH;AEYLPXESKWZFKVX;
3:DOJWYVZJUQBRKZH;CFCTLSOAVGHYCYO;OIRLCSKBUFCUTYC;CQLBVUICRTCSNZD;CPHYFUCFEMECDGM;XOMPXZYKEZUFDJX;YMELLJCHTZYFHEE;RZAUPFEAEZCJFXW;ZPNJBTNETRSPWDJ;EBGVGJIGWAVILXQ;
4:ZWIPXVALDGGIDYP;ISPQVBWIZVJYITM;PKJYEGJXWMPSKZL;ZKNETBGGYKRCDMG;HSZRTFNKJOMKIUB;EOREOIXAWDXDUYP;AXGVTMCSAHKPWAQ;PJZGHDWOZBZTYMJ;IWZOQQSUTYOUUIN;EMXJDSYRSWFKZQZ;
5:VTIQUANSWDFLBTQ;CHHKUVKWCAMUYSD;TIWGWTHPVVCWNJO;IIQBATJSEEVXNIN;YYXENFQYEMDVESY;FSPEFLFNNQSZQVP;VTJYZSRNBQKZZSS;XSFYDRZVEFPJRAC;PLYACOWYQACCUHY;SKWWBQTTMKFJFCU;
6:DDPPSHWHQFYQOGS;HSEJKEDKZGUVTVE;JQNTQNZDEANFJMQ;IYWTTSXMXKGOKZA;FWLRHPGGXQNTNGJ;QUKLGNFNGQUZLIA;QEOCBEOLTLMNULF;ZVRGXTHRAMTUJJO;TZPEENPJDIZXDXZ;GBROYLMXZHBJHOL;
7:TAEQNIROJOLRGZA;OXRHQGYJUGLBTWH;LOHLPCDVYQSFYJM;HQGGMMXIHBZZOEA;FYFPQMJIFNIDVTR;UFUWHJZMBMFYZDY;OXGNCARIAEEQOBJ;GRAQTIWOITYUPNH;KZBCUXHYWCOUNFP;WWOGPGCVJZXYBXU;
8:AGQJLHZEPBBKTPK;MRDJTIWIECNXUYJ;ADNMMYBWFCKOQJM;VGJVJLHBOURRQEN;WNKIGYKBZQJEEOR;BOIWZZBFICYMYLU;SJSZAWGFSIJGKSY;XGHASRMUZVTNYGP;UJRRXFOTOEGGSPO;AESYAKWLERRRLLX;
9:XTPUOEYLKXCSVCU;JTMFXICUPNYNYFP;ADSSIXRJARUYENT;KONTOIIWSGUWDGY;NSALYVIGTYJHTWD;XLKUTOBTTLILPEF;ZGZJBSAITYBHUFR;EWWFQXBSBCGXBKJ;DSULCMAQXEIHSYI;NBESYRMOEOBTRFK;
10:BBBB;BBBB;BBBB
